Iteration,num_layers,activation_fn,batch_size,learning_rate,Loss,Training Accuracy,Test Accuracy
log1.txt_BestEpoch,6,ELU,64,0.01,1.4073,52.39,53.02
log1.txt_BestEpoch,9,ELU,256,0.05,1.5063,50.07,50.87
log1.txt_BestEpoch,9,ELU,128,0.005,1.6411,44.29,44.09
log1.txt_BestEpoch,8,LeakyReLU,256,0.001,1.1555,60.24,61.9
log1.txt_BestEpoch,5,ELU,128,0.001,1.6222,45.03,45.6
log1.txt_BestEpoch,6,LeakyReLU,64,0.1,2.1644,23.82,24.61
log1.txt_BestEpoch,5,LeakyReLU,128,0.05,1.8754,38.67,39.71
log1.txt_BestEpoch,5,ELU,64,0.005,1.6285,44.5,45.74
log1.txt_BestEpoch,6,ReLU,128,0.005,1.3844,52.54,53.36
log1.txt_BestEpoch,9,ELU,256,0.1,1.6121,44.96,45.04
log1.txt_BestEpoch,9,ELU,64,0.05,1.2113,58.9,59.89
log2.txt_BestEpoch,7,ReLU,256,0.001,1.1278,61.48,62.44
log2.txt_BestEpoch,8,ReLU,1024,0.004,1.1822,60.43,61.62
log2.txt_BestEpoch,8,LeakyReLU,1024,0.0005,1.1125,62.08,63.02
log2.txt_BestEpoch,9,LeakyReLU,256,0.0005,1.1527,59.47,60.36
log2.txt_BestEpoch,9,LeakyReLU,256,0.007,1.0945,62.62,63.21
log3.txt_BestEpoch,8,LeakyReLU,1024,0.00075,1.0785,62.8,63.65
log3.txt_BestEpoch,8,LeakyReLU,1024,0.00025,1.2556,57.56,58.13
log3.txt_BestEpoch,8,LeakyReLU,1024,0.00025,1.3333,54.71,55.69
log4.txt_BestEpoch,8,LeakyReLU,128,0.00075,1.135,60.83,62.14
log4.txt_BestEpoch,8,LeakyReLU,128,0.00075,1.0853,62.69,64.24
log4.txt_BestEpoch,8,LeakyReLU,64,0.00075,1.1,61.86,63.21
log4.txt_BestEpoch,8,ReLU,32,0.0005,1.1521,60.61,61.97
log4.txt_BestEpoch,7,LeakyReLU,128,0.00075,1.106,62.3,63.01
log5.txt_BestEpoch,7,ReLU,100,0.00095,1.1192,62.18,62.75
log5.txt_BestEpoch,7,ReLU,94,0.00083,1.1176,61.27,62.35
log5.txt_BestEpoch,7,ReLU,68,0.00109,1.1026,62.3,63.97
log5.txt_BestEpoch,7,ReLU,48,0.00065,1.1171,61.74,62.43
log5.txt_BestEpoch,7,ReLU,67,0.00106,1.152,60.88,61.7
log5.txt_BestEpoch,7,ReLU,56,0.00094,1.1237,61.81,63.2
log6.txt_BestEpoch,7,LeakyReLU,100,0.00095,1.1048,61.97,62.61
log6.txt_BestEpoch,7,LeakyReLU,94,0.00083,1.0893,63.53,64.87
log6.txt_BestEpoch,7,LeakyReLU,68,0.00109,1.0844,62.82,64.14
log6.txt_BestEpoch,7,LeakyReLU,120,0.00055,1.0909,63.03,63.56
log6.txt_BestEpoch,7,LeakyReLU,109,0.001,1.0895,62.02,63.8
log6.txt_BestEpoch,7,LeakyReLU,44,0.00098,1.085,63.09,63.62
log6.txt_BestEpoch,7,LeakyReLU,114,0.00113,1.0752,63.28,63.91
log6.txt_BestEpoch,7,LeakyReLU,59,0.001,1.063,63.37,64.68
log6.txt_BestEpoch,7,LeakyReLU,103,0.00076,1.0719,63.63,64.35
log6.txt_BestEpoch,7,LeakyReLU,59,0.00055,1.1109,62.36,63.57
log6.txt_BestEpoch,7,LeakyReLU,75,0.00119,1.0882,62.79,62.82
log6.txt_BestEpoch,7,LeakyReLU,54,0.0011,1.0754,63.64,64.8
log6.txt_BestEpoch,7,LeakyReLU,109,0.00083,1.1332,60.3,62.26
log6.txt_BestEpoch,7,LeakyReLU,105,0.00107,1.0695,63.3,64.54
log6.txt_BestEpoch,7,LeakyReLU,81,0.0009,1.1029,61.36,62.51
log6.txt_BestEpoch,7,LeakyReLU,95,0.00072,1.1132,62.4,62.46
log6.txt_BestEpoch,7,LeakyReLU,67,0.00118,1.1114,61.83,63.06
log6.txt_BestEpoch,7,LeakyReLU,73,0.00084,1.0965,62.72,63.7
log6.txt_BestEpoch,7,LeakyReLU,90,0.00121,1.0647,63.5,65.33
log6.txt_BestEpoch,7,LeakyReLU,42,0.00077,1.0874,62.12,63.05
log6.txt_BestEpoch,7,LeakyReLU,116,0.00118,1.0656,63.23,65.37
log6.txt_BestEpoch,7,LeakyReLU,60,0.00096,1.0944,62.62,63.49
log6.txt_BestEpoch,7,LeakyReLU,95,0.00109,1.1202,61.77,62.92
log6.txt_BestEpoch,7,LeakyReLU,107,0.00057,1.1239,62.28,62.53
log6.txt_BestEpoch,7,LeakyReLU,59,0.00063,1.1213,62.2,63.03
log6.txt_BestEpoch,7,LeakyReLU,48,0.00064,1.1123,61.92,63.34
log6.txt_BestEpoch,7,LeakyReLU,89,0.00067,1.0897,62.11,63.1
log6.txt_BestEpoch,7,LeakyReLU,54,0.00096,1.0678,63.15,64.46
log6.txt_BestEpoch,7,LeakyReLU,62,0.00074,1.0956,62.63,63.97
log6.txt_BestEpoch,7,LeakyReLU,42,0.00055,1.1145,61.14,62.59
log6.txt_BestEpoch,7,LeakyReLU,95,0.00094,1.1887,58.95,60.51
log6.txt_BestEpoch,7,LeakyReLU,74,0.00106,1.0605,63.98,64.76
log6.txt_BestEpoch,7,LeakyReLU,109,0.00097,1.0766,62.96,63.57
log6.txt_BestEpoch,7,LeakyReLU,51,0.00065,1.1259,61.74,62.83
log6.txt_BestEpoch,7,LeakyReLU,53,0.00103,1.0913,62.09,63.19
log6.txt_BestEpoch,7,LeakyReLU,105,0.00091,1.0787,63.18,63.58
log6.txt_BestEpoch,7,LeakyReLU,61,0.0012,1.0786,63.52,63.52
log6.txt_BestEpoch,7,LeakyReLU,53,0.00102,1.082,62.43,63.84
log6.txt_BestEpoch,7,LeakyReLU,94,0.00056,1.1207,61.7,62.83
log7.txt_BestEpoch,8,LeakyReLU,100,0.00095,1.0854,63.12,64.53
log7.txt_BestEpoch,8,LeakyReLU,94,0.00083,1.0759,62.23,63.34
log7.txt_BestEpoch,8,LeakyReLU,68,0.00109,1.0748,61.93,63.26
